reclon,reclat,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.80800401,42.94886681,0,0,50,209.8724017,2020/10/22 15:12:12+00,,,,,,,,,,,,,,,,,,,,,
-78.80804175,42.94886178,0,0,51,210.0630625,2020/10/22 15:12:14+00,,,,,,,,,,,,,,,,,,,,,
-78.80807539,42.94886429,0,0,52,209.7102713,2020/10/22 15:12:16+00,,,,,,,,,,,,,,,,,,,,,
-78.80811319,42.94886196,0,0,53,209.9199103,2020/10/22 15:12:18+00,,,,,,,,,,,,,,,,,,,,,
-78.80815699,42.94887398,0,0,54,210.0851731,2020/10/22 15:12:20+00,,,,,,,,,,,,,,,,,,,,,
-78.80819861,42.9488682,0,0,55,210.4033652,2020/10/22 15:12:22+00,,,,,,,,,,,,,,,,,,,,,
-78.80823506,42.94886697,0,0,56,210.6482338,2020/10/22 15:12:24+00,,,,,,,,,,,,,,,,,,,,,
-78.80827246,42.9488654,0,0,57,210.1061984,2020/10/22 15:12:26+00,,,,,,,,,,,,,,,,,,,,,
-78.80831173,42.94886182,0,0,58,209.4350184,2020/10/22 15:12:28+00,,,,,,,,,,,,,,,,,,,,,
-78.80834844,42.94885735,0,0,59,210.4167995,2020/10/22 15:12:30+00,,,,,,,,,,,,,,,,,,,,,
-78.80838066,42.94885169,0,0,60,210.046058,2020/10/22 15:12:32+00,,,,,,,,,,,,,,,,,,,,,
-78.80842079,42.94885299,0,0,61,209.7888219,2020/10/22 15:12:34+00,,,,,,,,,,,,,,,,,,,,,
-78.80845334,42.9488611,0,0,62,209.5875094,2020/10/22 15:12:36+00,,,,,,,,,,,,,,,,,,,,,
-78.80848446,42.94886203,0,0,63,209.8113555,2020/10/22 15:12:38+00,,,,,,,,,,,,,,,,,,,,,
-78.80851786,42.948855,0,0,64,209.753694,2020/10/22 15:12:40+00,,,,,,,,,,,,,,,,,,,,,
-78.8085566,42.94885095,0,0,65,209.7404015,2020/10/22 15:12:42+00,,,,,,,,,,,,,,,,,,,,,
-78.80858842,42.94885234,0,0,66,210.3751645,2020/10/22 15:12:44+00,,,,,,,,,,,,,,,,,,,,,
-78.80862599,42.94885069,0,0,67,210.3980798,2020/10/22 15:12:46+00,,,,,,,,,,,,,,,,,,,,,
-78.80866055,42.94885697,0,0,68,210.1060327,2020/10/22 15:12:48+00,,,,,,,,,,,,,,,,,,,,,
-78.8086952,42.94885428,0,0,69,209.8199287,2020/10/22 15:12:50+00,,,,,,,,,,,,,,,,,,,,,
-78.80873362,42.94884976,0,0,70,209.5852957,2020/10/22 15:12:52+00,,,,,,,,,,,,,,,,,,,,,
-78.80877391,42.94885187,0,0,71,209.4595653,2020/10/22 15:12:54+00,,,,,,,,,,,,,,,,,,,,,
-78.80881407,42.94885351,0,0,72,209.2411531,2020/10/22 15:12:56+00,,,,,,,,,,,,,,,,,,,,,
-78.80884843,42.94885426,0,0,73,209.9439977,2020/10/22 15:12:58+00,,,,,,,,,,,,,,,,,,,,,
-78.80888707,42.94885657,0,0,74,209.7329984,2020/10/22 15:13:00+00,,,,,,,,,,,,,,,,,,,,,
-78.80892402,42.94885937,0,0,75,209.7557345,2020/10/22 15:13:02+00,,,,,,,,,,,,,,,,,,,,,
