reclon,reclat,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,geotracker_meta
-78.824115,42.950497,0,0,57,174,2020/10/23 19:31:42+00,,,,,,,,,,,,,,,,,,,,,,
-78.824026,42.950435,0,0,58,172,2020/10/23 19:31:50+00,,,,,,,,,,,,,,,,,,,,,,
-78.823906,42.950414,0,0,59,174,2020/10/23 19:31:59+00,,,,,,,,,,,,,,,,,,,,,,
-78.823817,42.950343,0,0,60,171,2020/10/23 19:32:06+00,,,,,,,,,,,,,,,,,,,,,,
-78.823733,42.950272,0,0,61,168,2020/10/23 19:32:11+00,,,,,,,,,,,,,,,,,,,,,,
-78.823652,42.950205,0,0,62,170,2020/10/23 19:32:16+00,,,,,,,,,,,,,,,,,,,,,,
-78.823546,42.950138,0,0,63,170,2020/10/23 19:32:24+00,,,,,,,,,,,,,,,,,,,,,,
-78.823439,42.950076,0,0,64,169,2020/10/23 19:32:31+00,,,,,,,,,,,,,,,,,,,,,,
-78.823315,42.950042,0,0,65,172,2020/10/23 19:32:36+00,,,,,,,,,,,,,,,,,,,,,,
-78.823197,42.949998,0,0,66,172,2020/10/23 19:32:43+00,,,,,,,,,,,,,,,,,,,,,,
-78.823087,42.949938,0,0,67,170,2020/10/23 19:32:49+00,,,,,,,,,,,,,,,,,,,,,,
-78.822982,42.94988,0,0,68,170,2020/10/23 19:32:58+00,,,,,,,,,,,,,,,,,,,,,,
-78.822886,42.949806,0,0,69,171,2020/10/23 19:33:06+00,,,,,,,,,,,,,,,,,,,,,,
-78.822799,42.94974,0,0,70,172,2020/10/23 19:33:14+00,,,,,,,,,,,,,,,,,,,,,,
-78.822715,42.949662,0,0,71,172,2020/10/23 19:33:23+00,,,,,,,,,,,,,,,,,,,,,,
-78.822609,42.949604,0,0,72,173,2020/10/23 19:33:31+00,,,,,,,,,,,,,,,,,,,,,,
-78.822493,42.949565,0,0,73,175,2020/10/23 19:33:39+00,,,,,,,,,,,,,,,,,,,,,,
-78.822389,42.9495,0,0,74,174,2020/10/23 19:33:47+00,,,,,,,,,,,,,,,,,,,,,,
-78.822295,42.949427,0,0,75,173,2020/10/23 19:33:55+00,,,,,,,,,,,,,,,,,,,,,,
-78.822196,42.949367,0,0,76,175,2020/10/23 19:34:03+00,,,,,,,,,,,,,,,,,,,,,,
-78.82209,42.949314,0,0,77,173,2020/10/23 19:34:11+00,,,,,,,,,,,,,,,,,,,,,,
-78.821976,42.949258,0,0,78,174,2020/10/23 19:34:19+00,,,,,,,,,,,,,,,,,,,,,,
-78.821872,42.949186,0,0,79,176,2020/10/23 19:34:27+00,,,,,,,,,,,,,,,,,,,,,,
-78.821747,42.949153,0,0,80,175,2020/10/23 19:34:34+00,,,,,,,,,,,,,,,,,,,,,,
-78.82162,42.949129,0,0,81,174,2020/10/23 19:34:40+00,,,,,,,,,,,,,,,,,,,,,,
-78.821494,42.949098,0,0,82,176,2020/10/23 19:34:49+00,,,,,,,,,,,,,,,,,,,,,,
-78.821381,42.94904,0,0,83,172,2020/10/23 19:34:59+00,,,,,,,,,,,,,,,,,,,,,,
-78.821251,42.949029,0,0,84,171,2020/10/23 19:35:06+00,,,,,,,,,,,,,,,,,,,,,,
-78.821111,42.949009,0,0,85,173,2020/10/23 19:35:13+00,,,,,,,,,,,,,,,,,,,,,,
-78.820979,42.949016,0,0,86,173,2020/10/23 19:35:22+00,,,,,,,,,,,,,,,,,,,,,,
-78.820845,42.949014,0,0,87,173,2020/10/23 19:35:29+00,,,,,,,,,,,,,,,,,,,,,,
-78.820704,42.949005,0,0,88,173,2020/10/23 19:35:36+00,,,,,,,,,,,,,,,,,,,,,,
-78.820558,42.94901,0,0,89,173,2020/10/23 19:35:43+00,,,,,,,,,,,,,,,,,,,,,,
-78.820431,42.949021,0,0,90,172,2020/10/23 19:35:50+00,,,,,,,,,,,,,,,,,,,,,,
-78.820301,42.949011,0,0,91,170,2020/10/23 19:35:57+00,,,,,,,,,,,,,,,,,,,,,,
-78.820168,42.949002,0,0,92,172,2020/10/23 19:36:05+00,,,,,,,,,,,,,,,,,,,,,,
-78.820035,42.949004,0,0,93,173,2020/10/23 19:36:12+00,,,,,,,,,,,,,,,,,,,,,,
-78.81991,42.949009,0,0,94,175,2020/10/23 19:36:19+00,,,,,,,,,,,,,,,,,,,,,,
-78.819779,42.948998,0,0,95,176,2020/10/23 19:36:27+00,,,,,,,,,,,,,,,,,,,,,,
-78.81965,42.948995,0,0,96,176,2020/10/23 19:36:35+00,,,,,,,,,,,,,,,,,,,,,,
-78.819514,42.948994,0,0,97,176,2020/10/23 19:36:43+00,,,,,,,,,,,,,,,,,,,,,,
-78.819383,42.949011,0,0,98,178,2020/10/23 19:36:52+00,,,,,,,,,,,,,,,,,,,,,,
-78.819263,42.949052,0,0,99,180,2020/10/23 19:36:59+00,,,,,,,,,,,,,,,,,,,,,,
-78.819137,42.949028,0,0,100,181,2020/10/23 19:37:06+00,,,,,,,,,,,,,,,,,,,,,,
-78.81901,42.949019,0,0,101,180,2020/10/23 19:37:14+00,,,,,,,,,,,,,,,,,,,,,,
-78.818877,42.949002,0,0,102,178,2020/10/23 19:37:22+00,,,,,,,,,,,,,,,,,,,,,,
-78.818744,42.948988,0,0,103,178,2020/10/23 19:37:30+00,,,,,,,,,,,,,,,,,,,,,,
-78.818619,42.948982,0,0,104,177,2020/10/23 19:37:38+00,,,,,,,,,,,,,,,,,,,,,,
-78.818478,42.948992,0,0,105,179,2020/10/23 19:37:46+00,,,,,,,,,,,,,,,,,,,,,,
-78.818353,42.948972,0,0,106,178,2020/10/23 19:37:52+00,,,,,,,,,,,,,,,,,,,,,,
-78.818226,42.948951,0,0,107,178,2020/10/23 19:38:02+00,,,,,,,,,,,,,,,,,,,,,,
-78.818093,42.948952,0,0,108,174,2020/10/23 19:38:10+00,,,,,,,,,,,,,,,,,,,,,,
-78.817968,42.948961,0,0,109,174,2020/10/23 19:38:16+00,,,,,,,,,,,,,,,,,,,,,,
-78.81783,42.948971,0,0,110,177,2020/10/23 19:38:23+00,,,,,,,,,,,,,,,,,,,,,,
-78.817706,42.948954,0,0,111,175,2020/10/23 19:38:33+00,,,,,,,,,,,,,,,,,,,,,,
-78.817587,42.94893,0,0,112,174,2020/10/23 19:38:41+00,,,,,,,,,,,,,,,,,,,,,,
-78.817464,42.948946,0,0,113,175,2020/10/23 19:38:47+00,,,,,,,,,,,,,,,,,,,,,,
-78.817336,42.948946,0,0,114,174,2020/10/23 19:38:54+00,,,,,,,,,,,,,,,,,,,,,,
-78.817207,42.948947,0,0,115,176,2020/10/23 19:39:02+00,,,,,,,,,,,,,,,,,,,,,,
-78.817066,42.948956,0,0,116,177,2020/10/23 19:39:09+00,,,,,,,,,,,,,,,,,,,,,,
-78.816935,42.948946,0,0,117,176,2020/10/23 19:39:19+00,,,,,,,,,,,,,,,,,,,,,,
-78.816801,42.948934,0,0,118,177,2020/10/23 19:39:27+00,,,,,,,,,,,,,,,,,,,,,,
-78.816676,42.948934,0,0,119,180,2020/10/23 19:39:34+00,,,,,,,,,,,,,,,,,,,,,,
-78.816548,42.948938,0,0,120,180,2020/10/23 19:39:43+00,,,,,,,,,,,,,,,,,,,,,,
